[2021-02-19 18:58:04] [info] Enigma: [ OpenGL Info ]
		Manufacturer: Intel
		Renderer: Intel(R) HD Graphics 4600
		Version: 3.3.0 - Build 20.19.15.5126

[2021-02-19 18:58:05] [trace] Enigma: __cdecl Enigma::MainMenuScene::MainMenuScene(void) noexcept
[2021-02-19 18:58:05] [trace] Enigma: void __cdecl Enigma::MainMenuScene::OnCreate(void)
[2021-02-19 18:58:05] [trace] Enigma: void __cdecl Enigma::MainMenuScene::LoadImGuiFonts(void)
[2021-02-19 18:58:05] [trace] Enigma: Loading Fonts...
[2021-02-19 18:58:05] [trace] Enigma: Loaded Montserrat-Medium.ttf, 18px
[2021-02-19 18:58:05] [trace] Enigma: Loaded Audiowide-Regular.ttf, 60px
[2021-02-19 18:58:05] [trace] Enigma: Loaded Audiowide-Regular.ttf, 45px
[2021-02-19 18:58:05] [trace] Enigma: Loaded Audiowide-Regular.ttf, 20px
[2021-02-19 18:58:05] [trace] Enigma: Loaded Montserrat-Medium.ttf, 12px
[2021-02-19 18:58:05] [trace] Enigma: Loaded Montserrat-Medium.ttf, 45px
[2021-02-19 18:58:05] [trace] Enigma: Loaded Montserrat-Medium.ttf, 20px
[2021-02-19 18:58:08] [trace] Enigma: void __cdecl Enigma::MainMenuScene::OnDestroy(void)
